Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Learning Rate
1,2.12321626421005,1.7787490042429122,0.6741071428571429,0.9896825396825397,0.0001
2,1.7730416649863834,1.7609291822191269,0.9918650793650794,0.998015873015873,0.0001
3,1.762325289892772,1.7569601827197605,0.9964285714285714,0.9992063492063492,0.0001
4,1.7583197412036715,1.7568342768956744,0.9984126984126984,0.9992063492063492,0.0001
5,1.7578391427085513,1.7575995702592153,0.9987103174603175,0.998015873015873,0.0001
6,1.7566638484833732,1.7570828638379536,0.9990079365079365,0.998015873015873,0.0001
7,1.757386971655346,1.7569775429982988,0.9989087301587302,0.998015873015873,5.1000000000000006e-05
8,1.7563018140338715,1.7565516278857276,0.9993055555555556,0.9988095238095238,5.1000000000000006e-05
9,1.7555004975152395,1.756389561910478,0.9998015873015873,0.9988095238095238,5.1000000000000006e-05
10,1.755586931062123,1.7557398266262478,0.9998015873015873,0.9996031746031746,5.1000000000000006e-05
11,1.7554519638182624,1.755432127014039,0.999702380952381,0.9996031746031746,5.1000000000000006e-05
12,1.7555699303036645,1.7555907158624557,0.9996031746031746,0.9996031746031746,5.1000000000000006e-05
13,1.7555746964045933,1.7565045383241442,0.9995039682539683,0.9988095238095238,5.1000000000000006e-05
14,1.755373167613196,1.759239661504352,0.9999007936507937,0.9956349206349207,5.1000000000000006e-05
15,1.7550399780273438,1.7550301460992723,1.0,1.0,5.1000000000000006e-05
16,1.7550830716178532,1.755190380414327,0.9999007936507937,0.9996031746031746,5.1000000000000006e-05
17,1.7549358647967142,1.7550269535609655,1.0,1.0,5.1000000000000006e-05
18,1.7550301945398725,1.7551772753397623,0.9999007936507937,0.9996031746031746,5.1000000000000006e-05
19,1.755651425179981,1.7552295942155143,0.9994047619047619,0.9996031746031746,2.6010000000000003e-05
20,1.755161176030598,1.7553231841041927,0.9999007936507937,0.9996031746031746,2.6010000000000003e-05
